id;domain;priority;method;control;scenario;evidence;acceptance;initial_state
BOL-005;4. Bola e reinícios;P0;DIR;Passe de primeira;Receptor devolve sem domínio completo.;vídeo em 0,5x;"Animação e novo vetor começam no contato; sem teleporte para o pé.";PENDENTE 2.5D
BOL-006;4. Bola e reinícios;P0;DIR;Domínio orientado;Recepção com espaço lateral.;vídeo + coordenadas;Primeiro toque prepara a direção escolhida e mantém distância plausível do corpo.;PENDENTE 2.5D
BOL-007;4. Bola e reinícios;P0;DIR;Domínio sob pressão;Recepção com defensor a menos de 2 m.;vídeo + estado da disputa;"Toque pode escapar ou proteger; nunca cola instantaneamente no pé.";PENDENTE 2.5D
BOL-008;4. Bola e reinícios;P0;DIR;Bola espirrada em dividida;Dois atletas chegam simultaneamente.;vídeo + vetor pós-contato;"Vetor deriva dos movimentos e do ponto de contato; posse não é atribuída antes da resolução.";PENDENTE 2.5D
BOL-009;4. Bola e reinícios;P0;DIR;Desvio defensivo;Bloqueio de passe ou chute.;antes/depois do vetor;Trajetória muda no ponto do defensor e pode sair do campo naturalmente.;PENDENTE 2.5D
BOL-010;4. Bola e reinícios;P0;DIR;Rebote no gramado;Bola aérea quica antes da recepção.;altura e velocidade por frame;Quica com perda de energia e segunda altura menor.;PENDENTE 2.5D
BOL-011;4. Bola e reinícios;P0;DIR;Rebote na trave;Chute atinge poste.;ponto de impacto + vetor;Rebate do ponto visível da trave, sem atravessar ou inverter arbitrariamente.;PENDENTE 2.5D
BOL-012;4. Bola e reinícios;P0;DIR;Rebote no travessão;Chute alto atinge travessão.;ponto de impacto + arco;Altura e profundidade respeitam o travessão 2.5D.;PENDENTE 2.5D
BOL-013;4. Bola e reinícios;P0;VIS;Bola aérea no terço distante;Lançamento alto próximo à arquibancada visual.;vídeo da projeção;"A bola permanece dentro do teto de projeção do palco; não invade arquibancada.";PENDENTE 2.5D
BOL-014;4. Bola e reinícios;P0;DIR;Cruzamento em arco;Cruzamento de linha de fundo.;trajetória amostrada;"Altura cresce e cai; não é segmento linear.";BASELINE R13.0
BOL-015;4. Bola e reinícios;P1;DIR;Chute colocado;Finalização com alvo lateral.;trajetória e velocidade;Curva/diagonal coerente e desaceleração menor que passe.;PENDENTE 2.5D
BOL-016;4. Bola e reinícios;P1;DIR;Chute forte rasteiro;Finalização frontal de média distância.;velocidade inicial e contato;"Velocidade superior ao passe; bola mantém contato visual correto.";PENDENTE 2.5D
BOL-017;4. Bola e reinícios;P0;DIR;Chute alto com arco;Finalização alta de fora da área.;altura por frame;"Curva vertical contínua; não sobe em linha reta nem muda de altura abruptamente.";PENDENTE 2.5D
BOL-018;4. Bola e reinícios;P0;DIR;Cabeceio direcionado;Cruzamento com atacante em movimento.;frame cabeça/bola;Vetor muda no contato da cabeça e segue direção corporal plausível.;PENDENTE 2.5D
BOL-019;4. Bola e reinícios;P0;AUTO;Bola sem dono;Após corte parcial e rebote.;tempo sem posse + proximidade;"Pode existir bola livre; nenhum atleta é marcado portador até alcance físico.";PENDENTE 2.5D
BOL-020;4. Bola e reinícios;P0;AUTO+VIS;Recuperação física da posse;Atleta alcança bola livre.;distância no frame de aquisição;Posse só muda quando distância e tempo de contato são plausíveis.;PENDENTE 2.5D
BOL-021;4. Bola e reinícios;P0;DIR;Detecção de saída lateral por passe errado;Passe junto à linha ultrapassa completamente o limite.;coordenadas + evento;Lateral marcado no primeiro tick após a bola cruzar integralmente a linha.;BASELINE R13.0
BOL-022;4. Bola e reinícios;P0;DIR;Detecção de saída por domínio ruim;Primeiro toque leva a bola para fora.;vídeo + último toque;Reposição concedida ao adversário do último tocador.;PENDENTE 2.5D
BOL-023;4. Bola e reinícios;P0;DIR;Detecção de saída por dividida;Disputa empurra a bola para fora.;log de contatos;Último contato define a posse do lateral.;PENDENTE 2.5D
BOL-024;4. Bola e reinícios;P0;DIR;Detecção de saída por corte;Defensor corta passe pela lateral.;vídeo + evento;Gera lateral, não tiro de meta ou continuidade artificial.;PENDENTE 2.5D
BOL-025;4. Bola e reinícios;P1;AUTO+VIS;Origem do arremesso;Bola sai em cinco pontos diferentes da linha.;coordenada de saída/reposição;Reposição ocorre no ponto equivalente, limitado apenas por regra documentada.;PENDENTE 2.5D
BOL-026;4. Bola e reinícios;P1;AUTO;Cobrador correto;Lateral em ambos os lados e terços.;ID do cobrador;Escolhe atleta elegível e próximo, sem goleiro ou jogador adversário.;PENDENTE 2.5D
BOL-027;4. Bola e reinícios;P1;DIR;Distância de segurança;Adversário pressiona o cobrador.;distâncias no momento da cobrança;Oponentes respeitam distância mínima definida até a bola entrar.;PENDENTE 2.5D
BOL-028;4. Bola e reinícios;P0;DIR;Trajetória do arremesso;Cobrança curta, média e longa.;arco por frame;Bola nasce nas mãos/posição de cobrança, possui arco e cai no receptor ou espaço.;PENDENTE 2.5D
BOL-029;4. Bola e reinícios;P0;DIR;Continuidade após lateral;Receptor domina ou disputa.;vídeo pós-reposição;Fluxo retorna ao jogo corrido sem teleporte, pausa longa ou posse automática indevida.;PENDENTE 2.5D
BOL-030;4. Bola e reinícios;P0;AUTO;Frequência natural de laterais;Executar amostra diversa de 200 jogos.;média por partida;Entre 5 e 16 laterais/jogo, sem concentração anormal em uma formação.;BASELINE R13.0
BOL-031;4. Bola e reinícios;P0;DIR;Concessão correta de escanteio;Defensor toca por último antes da linha de fundo.;último contato + evento;"Escanteio concedido ao ataque; nenhum tiro de meta simultâneo.";PENDENTE 2.5D
BOL-032;4. Bola e reinícios;P1;VIS;Origem no quadrante correto;Saída pela esquerda e direita.;frame da cobrança;Bola posicionada no lado correspondente.;PENDENTE 2.5D
BOL-033;4. Bola e reinícios;P1;VIS;Corridas pré-cobrança;Marcação mista com atacantes na área.;clipe anterior à cobrança;"Há disputa por espaço; atletas não ficam estáticos ou sobrepostos.";PENDENTE 2.5D
BOL-034;4. Bola e reinícios;P0;AUTO;Limite de defensores atacando;Equipe com zagueiros altos.;contagem de jogadores avançados;No máximo dois defensores atacam a área e há defesa de descanso.;BASELINE R13.0
BOL-035;4. Bola e reinícios;P0;DIR;Decisão do goleiro no cruzamento;Cobranças fechada e aberta.;trace de decisão;"Sai, soca ou fica conforme trajetória e tráfego; não teleporta.";PENDENTE 2.5D
BOL-036;4. Bola e reinícios;P0;DIR;Segunda bola de escanteio;Corte parcial para entrada da área.;vídeo + posse;"Bola permanece viva e jogadores reagem; papéis especiais são limpos.";PENDENTE 2.5D
BOL-037;4. Bola e reinícios;P0;AUTO;Conversão de escanteios;Amostra neutra e diversa.;taxa de gols/corners;"Participação em gols dentro de 2%–18%; alvo de referência R13 entre 2,78% e 4,67%.";BASELINE R13.0
BOL-038;4. Bola e reinícios;P1;DIR;Transição após corte;Defesa recupera e contra-ataca.;vídeo de 10 s após corte;"Jogadores de descanso protegem o contra-ataque; sem reset artificial.";PENDENTE 2.5D
BOL-039;4. Bola e reinícios;P0;DIR;Concessão correta de tiro de meta;Atacante toca por último antes da linha de fundo.;último contato + evento;Tiro de meta, nunca escanteio.;PENDENTE 2.5D
BOL-040;4. Bola e reinícios;P1;AUTO+VIS;Reposicionamento para tiro de meta;Equipes em bloco alto e baixo.;mapa de posições;Jogadores assumem estrutura coerente sem teleporte visível.;PENDENTE 2.5D
BOL-041;4. Bola e reinícios;P1;DIR;Saída curta do goleiro;Zagueiro livre próximo.;trace de escolha;Goleiro pode escolher opção curta e bola percorre fisicamente o trajeto.;PENDENTE 2.5D
BOL-042;4. Bola e reinícios;P1;DIR;Saída longa do goleiro;Pressão alta fecha opções curtas.;trajetória + decisão;Lançamento tem arco e alvo espacial coerente.;PENDENTE 2.5D
BOL-043;4. Bola e reinícios;P1;AUTO;Bola em jogo no tiro de meta;Cobrança executada.;momento de ativação;Pressão e disputa começam quando a bola entra em jogo, conforme regra adotada.;PENDENTE 2.5D
BOL-044;4. Bola e reinícios;P1;AUTO;Frequência de tiros de meta;Amostra diversa.;média por partida;"Sem colapso estatístico; referência inicial próxima de 7,71/jogo.";BASELINE R13.0
BOL-045;4. Bola e reinícios;P1;VIS;Continuidade após tiro de meta;Recepção curta ou disputa longa.;clipe de 8 s;Sem corte de câmera, pausa ou posse forçada.;PENDENTE 2.5D
BOL-046;4. Bola e reinícios;P0;DIR;Concessão e local da falta;Falta em cinco zonas do campo.;coordenada da infração/reposição;Cobrança nasce no ponto da infração dentro de tolerância de 1 m lógico.;PENDENTE 2.5D
BOL-047;4. Bola e reinícios;P0;VIS;Câmera unificada de falta;Falta direta e indireta.;vídeo da transição;"Permanece no palco 2.5D; não há corte para perspectiva antiga.";PENDENTE 2.5D
BOL-048;4. Bola e reinícios;P0;AUTO+VIS;Barreira posicionada;Falta frontal e lateral.;distância bola-barreira;Distância regulamentar visual e jogadores não sobrepostos.;PENDENTE 2.5D
BOL-049;4. Bola e reinícios;P1;DIR;Escolha entre chute e passe;Distância curta, média e longa.;trace de decisão;Decisão responde a ângulo, distância, atributo e estado do jogo.;PENDENTE 2.5D
BOL-050;4. Bola e reinícios;P0;DIR;Trajetória da falta direta;Cobrança por cima e ao redor da barreira.;curva 3D projetada;"Arco e curva contínuos; bola não atravessa barreira.";PENDENTE 2.5D
BOL-051;4. Bola e reinícios;P1;VIS;Reação da barreira;Chute direto.;clipe em 0,5x;Jogadores saltam/reagem no momento da cobrança, sem antecipação grosseira.;PENDENTE 2.5D
BOL-052;4. Bola e reinícios;P1;DIR;Segunda bola de falta;Defesa rebate para a entrada da área.;vídeo pós-rebote;Jogo continua com bola livre e reorganização real.;PENDENTE 2.5D
BOL-053;4. Bola e reinícios;P1;DIR;Falta ofensiva em bola parada;Atacante comete infração na disputa.;evento e reinício;"Ataque perde a posse; gol subsequente é anulado se aplicável.";PENDENTE 2.5D
BOL-054;4. Bola e reinícios;P0;VIS;Câmera unificada de pênalti;Gerar pênalti durante partida.;vídeo da transição;Cena usa palco 2.5D e mantém identidade visual do jogo.;PENDENTE 2.5D
BOL-055;4. Bola e reinícios;P0;AUTO+VIS;Posicionamento pré-cobrança;Batedor, goleiro e demais atletas.;mapa de posições;Todos ocupam posições legais sem sobreposição.;PENDENTE 2.5D
BOL-056;4. Bola e reinícios;P0;VIS;Contato do chute no pênalti;Cobrança em diferentes lados.;frame do contato;Bola sai no contato do pé e não teleporta.;PENDENTE 2.5D
BOL-057;4. Bola e reinícios;P0;DIR;Mergulho do goleiro;Cobranças altas e baixas.;pose, sombra e ponto de defesa;Goleiro possui ação própria, alcança fisicamente ou é vencido.;PENDENTE 2.5D
BOL-058;4. Bola e reinícios;P0;DIR;Rebote de pênalti em jogo;Defesa ou trave em tempo normal.;vídeo pós-impacto;Bola segue viva e jogadores entram somente quando permitido.;PENDENTE 2.5D
BOL-059;4. Bola e reinícios;P0;AUTO;Encerramento na disputa por pênaltis;Cobrança defendida ou na trave.;estado da disputa;"Sem rebote jogável; placar de pênaltis atualiza uma vez.";PENDENTE 2.5D
BOL-060;4. Bola e reinícios;P0;AUTO;Ordem de batedores;Disputa chega a alternadas.;lista de batedores;Ordem válida, sem repetição antes de todos elegíveis cobrarem.;PENDENTE 2.5D
BOL-061;4. Bola e reinícios;P1;DIR;Saída inicial da partida;Início do primeiro tempo.;posições + primeiro toque;"Equipes em campos corretos; relógio inicia com a bola em jogo.";PENDENTE 2.5D
BOL-062;4. Bola e reinícios;P1;DIR;Saída do segundo tempo;Após intervalo.;posse e lados;Lados e equipe de saída obedecem regra definida.;PENDENTE 2.5D
BOL-063;4. Bola e reinícios;P0;DIR;Saída após gol;Após gol válido.;vídeo completo;"Equipe que sofreu reinicia; placar já atualizado; VFX não interfere.";PENDENTE 2.5D
BOL-064;4. Bola e reinícios;P1;VIS;Estrutura após saída;Passe para trás e pressão adversária.;clipe de 10 s;Linhas expandem gradualmente, sem corrida caótica ao mesmo ponto.;PENDENTE 2.5D
BOL-065;4. Bola e reinícios;P1;AUTO;Sem chute impossível da saída;Jogador tenta ação direta.;decisão e trajetória;"Ação respeita capacidade e regra; não gera atalho de gol recorrente.";PENDENTE 2.5D
BOL-066;4. Bola e reinícios;P1;DIR;Bola exatamente sobre a linha lateral;Centro da bola tangencia a linha.;coordenada subpixel;Permanece em jogo até cruzar integralmente o limite definido.;PENDENTE 2.5D
BOL-067;4. Bola e reinícios;P1;DIR;Bola exatamente sobre a linha de fundo;Centro da bola tangencia a linha.;coordenada subpixel;Permanece em jogo até cruzar integralmente.;PENDENTE 2.5D
BOL-068;4. Bola e reinícios;P0;DIR;Saída no encontro lateral/linha de fundo;Bola cruza próximo à bandeirinha.;trajeto + último toque;Classificação usa o primeiro limite cruzado e último toque.;PENDENTE 2.5D
BOL-069;4. Bola e reinícios;P0;DIR;Desvio múltiplo antes da saída;Bola toca em três atletas.;cadeia de contatos;Último contato válido define a reposição.;PENDENTE 2.5D
BOL-070;4. Bola e reinícios;P0;DIR;Bola fora durante vantagem;Falta ocorre e bola sai logo depois.;timeline da vantagem;Motor decide falta ou reposição uma vez, sem eventos concorrentes.;PENDENTE 2.5D
IA-001;5. IA tática;P0;AUTO+VIS;Compactação vertical do bloco;Ataque circula da defesa ao terço final.;distância entre linhas;Bloco ajusta profundidade sem buracos sistemáticos acima de 18 m entre linhas adjacentes.;BASELINE R13.0
IA-002;5. IA tática;P0;AUTO+VIS;Compactação horizontal;Bola alterna entre corredor esquerdo, centro e direito.;largura das linhas;Equipe desliza para o lado da bola e mantém lado oposto protegido por dentro.;PENDENTE 2.5D
IA-003;5. IA tática;P0;AUTO;Linha defensiva coordenada;Passador rival sob e sem pressão.;amplitude de profundidade;"Linha sobe/recua em conjunto; taxa de desconexão dentro do gate.";BASELINE R13.0
IA-004;5. IA tática;P0;AUTO+VIS;Lateral acompanha a linha;Bola no lado oposto e atacante aberto.;profundidade do lateral;Não mantém atacante em condição por atraso recorrente sem motivo.;PENDENTE 2.5D
IA-005;5. IA tática;P0;AUTO+VIS;Volante protege zona central;Zagueiro sai para pressionar.;ocupação da zona abandonada;Volante ou defensor cobre a zona antes de o rival explorar o corredor central.;PENDENTE 2.5D
IA-006;5. IA tática;P1;DIR;Ponta acompanha lateral;Lateral adversário ultrapassa.;vídeo + referência;"Ponta reage conforme estilo/mentalidade; ausência de acompanhamento deve gerar compensação.";PENDENTE 2.5D
IA-007;5. IA tática;P1;AUTO+VIS;Lado oposto fecha por dentro;Ataque progride pelo corredor lateral.;posições do lado fraco;Extremo e lateral opostos estreitam sem abandonar completamente a largura.;PENDENTE 2.5D
IA-008;5. IA tática;P0;AUTO;Defesa de descanso;Ataque posiciona muitos jogadores à frente.;quantidade e posição atrás da bola;Mantém proteção mínima coerente com mentalidade.;PENDENTE 2.5D
IA-009;5. IA tática;P0;DIR;Linha de cinco temporária;Adversário ocupa última linha com quatro atacantes.;mudança estrutural;Volante/lateral recua por ocupação espacial, não por nome da formação.;PENDENTE 2.5D
IA-010;5. IA tática;P1;DIR;Retorno à estrutura-base;Sobrecarga adversária termina.;timeline estrutural;Equipe desfaz linha de cinco gradualmente e sem trocar IDs de forma errada.;PENDENTE 2.5D
IA-011;5. IA tática;P0;AUTO+VIS;Proteção do corredor central;Rival possui dois meias entrelinhas.;mapa de sombras de passe;Ao menos um volante ou zagueiro controla a zona e linha de passe.;PENDENTE 2.5D
IA-012;5. IA tática;P0;DIR;Proteção do corredor lateral;Rival cria 2x1 contra lateral.;vídeo + distâncias;Cobertura chega por ponta, volante ou zagueiro antes de cruzamento livre recorrente.;PENDENTE 2.5D
IA-013;5. IA tática;P1;DIR;Proteção da entrada da área;Cruzamento é cortado parcialmente.;ocupação após corte;Defesa mantém jogador para segunda bola.;PENDENTE 2.5D
IA-014;5. IA tática;P0;AUTO+VIS;Recuo diante de corrida nas costas;Atacante acelera e passador tem tempo.;profundidade da linha;Linha recua proporcionalmente antes do passe, sem recuo infinito.;PENDENTE 2.5D
IA-015;5. IA tática;P0;AUTO+VIS;Subida com passador pressionado;Passador rival de costas e sob pressão.;movimento da linha;Linha encurta em bloco e pode gerar impedimento orgânico.;BASELINE R13.0
IA-016;5. IA tática;P1;AUTO;Escalonamento natural dos zagueiros;Bola em corredor lateral.;diferença de profundidade;Pequeno escalonamento, sem linha perfeitamente rígida nem buraco excessivo.;PENDENTE 2.5D
IA-017;5. IA tática;P0;DIR;Cobertura do zagueiro que salta;Zagueiro pressiona entrelinhas.;mapa de posições;Parceiro e volante fecham profundidade e corredor do passe.;PENDENTE 2.5D
IA-018;5. IA tática;P0;DIR;Proteção contra terceiro homem;Passe apoia e devolve em profundidade.;vídeo da sequência;Defesa acompanha a devolução e não persegue somente a bola.;PENDENTE 2.5D
IA-019;5. IA tática;P1;AUTO+VIS;Reação a inversão longa;Bola muda de corredor em passe longo.;tempo de basculação;Bloco oposto reage antes da recepção ou dentro de 1,5 s lógicos.;PENDENTE 2.5D
IA-020;5. IA tática;P0;DIR;Estrutura após bola parada;Escanteio ou falta é afastado.;mapa de recomposição;Papéis temporários desaparecem e linhas se reorganizam.;PENDENTE 2.5D
IA-021;5. IA tática;P0;AUTO;Marcador a distância útil;Atacante recebe entrelinhas.;distância marcador-ameaça;Média dentro do gate e nenhuma associação acima de 20 m contada como cobertura.;BASELINE R13.0
IA-022;5. IA tática;P0;AUTO;Marcador do lado do gol;Atacante central próximo à área.;posição relativa ao gol;Cobertura pelo lado do gol acima de 70% nas ameaças relevantes.;BASELINE R13.0
IA-023;5. IA tática;P0;AUTO+VIS;Controle do corredor de passe;Atacante sem bola entre defensor e gol.;interseção defensor-linha de passe;Defensor reduz linha de passe mesmo sem colar no atacante.;PENDENTE 2.5D
IA-024;5. IA tática;P0;DIR;Cobertura secundária;Primeiro marcador é driblado.;distância do segundo defensor;Segundo defensor entra em condição de intervenção sem abrir corredor central.;PENDENTE 2.5D
IA-025;5. IA tática;P0;DIR;Transferência de marcação;Atacante cruza zonas lateral/central.;IDs de referência por tempo;Referência passa entre setores sem dois defensores perseguirem indefinidamente.;PENDENTE 2.5D
IA-026;5. IA tática;P1;AUTO+VIS;Não seguir atacante irrelevante;Atacante recua para longe do gol.;movimento do defensor;Defensor preserva estrutura quando a perseguição criaria espaço perigoso.;PENDENTE 2.5D
IA-027;5. IA tática;P0;DIR;Marcação de dois atacantes centrais;Dupla ocupa entre zagueiros e volantes.;mapa de coberturas;Ambos controlados por referências distintas ou zona compartilhada com sobra.;PENDENTE 2.5D
IA-028;5. IA tática;P1;DIR;Marcação de ponta aberto;Ponta fixa amplitude.;posição lateral/zagueiro;Lateral controla distância e orientação sem abrir meio.;PENDENTE 2.5D
IA-029;5. IA tática;P0;DIR;Marcação no segundo pau;Cruzamento vindo do lado oposto.;posição antes do cruzamento;Defensor do lado fraco acompanha atacante ou protege zona de finalização.;PENDENTE 2.5D
IA-030;5. IA tática;P1;DIR;Marcação em rebote;Chute bloqueado volta à área.;reação após rebote;Defesa atualiza ameaça e não mantém referências antigas.;PENDENTE 2.5D
IA-031;5. IA tática;P1;VIS;Marcação sem colisão de atletas;Dois defensores convergem.;vídeo próximo;Não ocupam exatamente o mesmo ponto por mais de 0,3 s.;PENDENTE 2.5D
IA-032;5. IA tática;P1;AUTO;Sobra defensiva;Ataque possui igualdade numérica na última linha.;quantidade de defensores livres;Quando possível, um defensor preserva cobertura em vez de todos marcarem homem a homem.;PENDENTE 2.5D
IA-033;5. IA tática;P1;DIR;Ameaça recém-entrada;Substituto entra e ocupa zona perigosa.;tempo para nova referência;IA reconhece e ajusta marcação em até 2 s lógicos.;PENDENTE 2.5D
IA-034;5. IA tática;P0;DIR;Troca de posição ofensiva;Ponta e meia trocam corredores.;transferência de referências;Defesa reage à posição real, não ao rótulo original.;PENDENTE 2.5D
IA-035;5. IA tática;P0;AUTO+VIS;Sobrecarga 4-2-4 por ocupação;Quatro atacantes ocupam última linha.;taxa de ameaça descoberta;Resposta ocorre sem condição hard-coded e taxa permanece dentro do gate.;BASELINE R13.0
IA-036;5. IA tática;P1;DIR;Gatilho por passe para trás;Rival recua ao zagueiro.;timeline do pressionador;Pressão aumenta conforme estilo e distância, sem todos abandonarem zonas.;PENDENTE 2.5D
IA-037;5. IA tática;P0;DIR;Gatilho por domínio ruim;Receptor perde controle.;tempo de reação;Jogador próximo acelera e cobertura fecha passe seguinte.;PENDENTE 2.5D
IA-038;5. IA tática;P0;DIR;Gatilho por recepção de costas;Meia recebe voltado para o próprio gol.;abordagem e sombra;Pressionador chega pelo lado correto e bloqueia giro/passe perigoso.;PENDENTE 2.5D
IA-039;5. IA tática;P1;AUTO+VIS;Pressão orientada para lateral;Portador próximo ao corredor.;ângulo de abordagem;Abordagem usa linha lateral como defensor adicional.;PENDENTE 2.5D
IA-040;5. IA tática;P0;AUTO;Segundo homem fecha passe;Primeiro jogador pressiona.;ocupação da linha de passe;Companheiro fecha opção curta em vez de atacar a mesma bola.;PENDENTE 2.5D
IA-041;5. IA tática;P0;AUTO;Terceiro homem protege profundidade;Pressão alta com linha subida.;posição do terceiro defensor;Mantém proteção contra passe vertical.;PENDENTE 2.5D
IA-042;5. IA tática;P0;DIR;Abandono da pressão vencida;Rival rompe primeira linha.;mudança de fase;"Equipe recua e reorganiza; não persegue em fila.";PENDENTE 2.5D
IA-043;5. IA tática;P1;AUTO;Intensidade coerente com estilo;Comparar pressão, equilibrado e bloco baixo.;ações de pressão por zona;"Pressão alta pressiona mais no campo rival; bloco baixo concentra no próprio terço.";BASELINE R13.0
IA-044;5. IA tática;P1;AUTO+VIS;Pressão sem stamina infinita;Sequência longa de posse rival.;velocidade e frequência ao longo do tempo;Intensidade varia e não permanece máxima continuamente.;PENDENTE 2.5D
IA-045;5. IA tática;P1;DIR;Pressão após saída de meta;Rival escolhe passe curto.;mapa de encaixes;Atacantes fecham opções proporcionalmente, sem teleporte de estrutura.;PENDENTE 2.5D
IA-046;5. IA tática;P1;AUTO+VIS;Amplitude na construção;Posse com zagueiros.;largura de laterais/pontas;Equipe abre o campo conforme formação e estilo.;PENDENTE 2.5D
IA-047;5. IA tática;P0;AUTO;Apoio curto ao portador;Portador sem opção frontal.;número de linhas de passe próximas;Ao menos uma opção de apoio aparece sem amontoamento.;PENDENTE 2.5D
IA-048;5. IA tática;P1;AUTO+VIS;Ocupação entrelinhas;Meias atacam espaço entre meio e defesa.;mapa de recepções;Jogadores alternam altura e não formam uma única linha.;PENDENTE 2.5D
IA-049;5. IA tática;P0;DIR;Ataque à profundidade;Passador tem tempo e atacante inicia corrida.;sincronia corrida/passe;Corrida começa antes do passe, podendo gerar condição ou impedimento orgânico.;PENDENTE 2.5D
IA-050;5. IA tática;P1;DIR;Terceiro homem ofensivo;Apoio devolve para corredor livre.;sequência de três jogadores;Movimento do terceiro jogador cria linha real de progressão.;PENDENTE 2.5D
IA-051;5. IA tática;P1;DIR;Inversão de corredor;Lado da bola está congestionado.;trace de decisão;IA considera lado oposto e executa passe viável, não giro instantâneo.;PENDENTE 2.5D
IA-052;5. IA tática;P1;DIR;Ultrapassagem do lateral;Ponta recebe por dentro.;corrida sem bola;Lateral ataca corredor externo quando há cobertura.;PENDENTE 2.5D
IA-053;5. IA tática;P1;DIR;Diagonal do ponta;Lateral mantém amplitude.;movimento ponta/lateral;Ponta ocupa meio espaço ou área sem colidir com centroavante.;PENDENTE 2.5D
IA-054;5. IA tática;P0;AUTO;Presença na área proporcional;Ataque chega à linha de fundo.;contagem na área/defesa de descanso;Quantidade de atacantes responde à mentalidade sem abandonar totalmente a transição.;PENDENTE 2.5D
IA-055;5. IA tática;P0;DIR;Escolha entre passe, cruzamento e chute;Portador no terço final com opções variadas.;scores de decisão;"Escolha reflete ângulo, pressão, companheiros e atributos; sem ação dominante fixa.";PENDENTE 2.5D
IA-056;5. IA tática;P0;DIR;Primeiro passe após recuperação;Bola recuperada no próprio terço.;trace de opções;Pode assegurar posse ou acelerar conforme espaço e estilo.;PENDENTE 2.5D
IA-057;5. IA tática;P1;AUTO+VIS;Corridas de apoio na transição;Recuperação com superioridade.;trajetórias de três jogadores;Portador recebe opções em largura, profundidade e apoio.;PENDENTE 2.5D
IA-058;5. IA tática;P0;AUTO;Proteção contra contra-ataque;Equipe perde bola com laterais altos.;jogadores atrás da bola;Defesa de descanso fecha centro antes de perseguir portador.;PENDENTE 2.5D
IA-059;5. IA tática;P1;DIR;Contra-pressão imediata;Perda no terço final.;ações nos primeiros 3 s;Jogadores próximos pressionam e outros protegem saídas.;PENDENTE 2.5D
IA-060;5. IA tática;P0;DIR;Abandono da contra-pressão;Rival supera o primeiro cerco.;mudança de fase;"Equipe recua para bloco; não mantém perseguição caótica.";PENDENTE 2.5D
IA-061;5. IA tática;P1;AUTO+VIS;Recomposição do lado oposto;Perda após inversão.;trajetória dos jogadores distantes;Lado fraco fecha por dentro e protege profundidade.;PENDENTE 2.5D
IA-062;5. IA tática;P0;DIR;Decisão do portador no contra-ataque;Portador com 2x2 e 3x2.;trace da decisão;Conduz, passa ou finaliza conforme vantagem real.;PENDENTE 2.5D
IA-063;5. IA tática;P0;DIR;Temporização defensiva;Defensor isolado contra dois atacantes.;movimento do defensor;Recua e fecha linha de passe até chegada de cobertura, em vez de bote suicida recorrente.;PENDENTE 2.5D
IA-064;5. IA tática;P1;AUTO;Retorno de atacantes;Perda prolongada.;distância percorrida na recomposição;"Atacantes retornam conforme função e estilo; ninguém fica permanentemente desligado.";PENDENTE 2.5D
IA-065;5. IA tática;P1;DIR;Transição após defesa do goleiro;Goleiro encaixa e vê espaço.;decisão de distribuição;Pode acelerar com lançamento ou esperar reorganização.;PENDENTE 2.5D
IA-066;5. IA tática;P1;AUTO+VIS;Resposta a vantagem no placar;IA vence após 70 minutos.;mudança de risco/estrutura;Reduz risco de forma gradual, sem parar de atacar completamente.;PENDENTE 2.5D
IA-067;5. IA tática;P0;AUTO+VIS;Resposta a desvantagem;IA perde após 70 minutos.;mudança de presença ofensiva;Aumenta risco e presença sem desmontar toda a defesa.;PENDENTE 2.5D
IA-068;5. IA tática;P0;DIR;Resposta a expulsão própria;Equipe fica com dez.;nova estrutura;Reorganiza funções e preserva zonas essenciais.;PENDENTE 2.5D
IA-069;5. IA tática;P1;DIR;Resposta a expulsão adversária;Rival fica com dez.;ocupação territorial;Explora superioridade sem criar regra de gol artificial.;PENDENTE 2.5D
IA-070;5. IA tática;P1;DIR;Resposta a lesão/substituição;Jogador-chave sai.;redistribuição de funções;"Novo jogador assume função compatível; equipe não mantém referência inexistente.";PENDENTE 2.5D
IA-071;5. IA tática;P0;DIR;Resposta a mudança de formação rival;Usuário troca 4-3-3 para 4-2-4.;ajuste espacial da IA;IA reage à nova ocupação, não ao nome do esquema.;PENDENTE 2.5D
IA-072;5. IA tática;P1;DIR;Resposta a sobrecarga lateral repetida;Rival ataca o mesmo lado três vezes.;ajustes de cobertura;IA aumenta proteção local sem abandonar lado oposto por completo.;PENDENTE 2.5D
IA-073;5. IA tática;P1;DIR;Resposta a bola longa repetida;Rival usa lançamentos nas costas.;profundidade e pressão no passador;Linha recua ou pressiona origem, reduzindo repetição do mesmo dano.;PENDENTE 2.5D
IA-074;5. IA tática;P1;DIR;Resposta a bloco baixo rival;Rival fecha área.;circulação e largura;"IA amplia, troca corredor e busca entrelinhas; não chuta de qualquer lugar sempre.";PENDENTE 2.5D
IA-075;5. IA tática;P0;DIR;Resposta a pressão alta rival;Saída curta é bloqueada.;decisão de saída;Alterna apoio, terceiro homem ou jogo direto conforme risco.;PENDENTE 2.5D
IA-076;5. IA tática;P0;AUTO;Ausência de ação impossível;Amostrar todas as decisões em 200 jogos.;lista de decisões sem caminho físico;Zero passe/chute/interceptação sem trajetória ou alcance válido.;PENDENTE 2.5D
